"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-01","2017","01","01","†","2.5","","-2.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-02","2017","01","02","†","2.0","","-7.5","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-03","2017","01","03","†","1.0","","-10.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-04","2017","01","04","†","1.5","","-10.5","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-05","2017","01","05","†","1.5","","-8.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-06","2017","01","06","†","4.0","","-0.5","","1.8","","16.2","","0.0","","2.2","","0.0","","2.2","","1","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-07","2017","01","07","†","3.5","","-2.0","","0.8","","17.2","","0.0","","0.0","","0.4","","0.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-08","2017","01","08","†","2.5","","-1.5","","0.5","","17.5","","0.0","","0.0","","6.0","","6.0","","0","T","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-09","2017","01","09","†","1.5","","0.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-10","2017","01","10","†","2.0","","-0.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-11","2017","01","11","†","2.0","","-6.5","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-12","2017","01","12","†","2.0","","-7.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-13","2017","01","13","†","1.5","","-6.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-14","2017","01","14","†","2.5","","-2.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-15","2017","01","15","†","2.5","","-1.5","","0.5","","17.5","","0.0","","1.4","","0.0","","1.4","","2","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-16","2017","01","16","†","6.0","","0.0","","3.0","","15.0","","0.0","","21.4","","0.0","","21.4","","","M","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-17","2017","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-18","2017","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-19","2017","01","19","†","8.0","","2.0","","5.0","","13.0","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-20","2017","01","20","†","8.0","","2.0","","5.0","","13.0","","0.0","","5.8","","0.0","","5.8","","0","","","","",""
