"Reference: JCRMS (2019). 2019 Joint Staff Report: Stock status and fisheries for spring Chinook, summer Chinook, sockeye, steelhead, and other species. Joint Columbia River Management Staff. Oregon Department of Fish and Wildlife. Washington Department of Fish and Wildlife.",,,,,,
FigureLabel,Stock,Run, Rear,ReturnYear,MainstemHarvestRate,ReportTable
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1980,0.034,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1981,0.064,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1982,0.086,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1983,0.088,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1984,0.101,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1985,0.07,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1986,0.078,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1987,0.076,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1988,0.13,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1989,0.098,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1990,0.116,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1991,0.099,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1992,0.076,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1993,0.069,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1994,0.087,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1995,0.05,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1996,0.053,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1997,0.068,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1998,0.051,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,1999,0.047,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2000,0.063,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2001,0.145,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2002,0.125,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2003,0.094,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2004,0.108,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2005,0.079,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2006,0.081,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2007,0.083,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2008,0.158,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2009,0.102,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2010,0.167,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2011,0.088,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2012,0.106,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2013,0.092,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2014,0.125,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2015,0.134,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2016,0.113,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2017,0.086,7
Upriver Wild,snake_wild_spr_sum,Spr/Sum,W,2018,0.112,7
Upper Columbia,ucol_summer,Sum,HW,1980,0.052,8
